"","Plant","Quantity_units","Cost_of_Goods_Sold_EURO","Total_Cost_of_Distribution","Total_Customer_Order_Management_Costs","Customer_related_Issues_Costs","Total_Operations_Costs","Product_Line","Product_Type","N_Parts","Assembly_Labour_Minutes","Machinery_Minutes","Number_of_Deliveries","Customer_Class","Turnover_Range_EURO","Geographical_Area"
"93","Northern Italy",37,3491.16,265.41,416.75,6.31,177.94,"Plugs and Caps","Spare Parts",1,0,1,64,"Others","c 100-250","ITA"
"94","Northern Italy",7,650.27,87.01,71.03,3.2,30.83,"Plugs and Caps","Spare Parts",1,0,1,18,"Nationals","e >500","ITA"
"99","Northern Italy",2,33.89,43.7,13.67,0.05,124.41,"Plugs and Caps","Spare Parts",1,0,1,4,"Others","a 0-20","ITA"
"100","USA",43,425.72,923.63,684.96,9.24,61.49,"Plugs and Caps","Spare Parts",1,0,1,74,"Nationals","e >500","NAM"
"101","USA",46,455.42,689.8,551.62,7.44,62.07,"Plugs and Caps","Spare Parts",1,0,1,64,"Nationals","e >500","NAM"
"106","Northern Italy",9,395.12,124.85,50.41,0.62,20.91,"Plugs and Caps","Spare Parts",1,0,1,51,"Others","e >500","IAM"
"107","Northern Italy",6,263.41,89.26,31.17,0.46,13.94,"Plugs and Caps","Spare Parts",1,0,1,29,"Others","c 100-250","ITA"
"113","USA",6,180.86,47.98,62.93,7.25,17.52,"Plugs and Caps","Spare Parts",1,0,1,29,"Nationals","c 100-250","NAM"
"121","USA",7,500.03,130.09,58.99,0.83,16.21,"Plugs and Caps","Spare Parts",1,0,1,60,"Nationals","d 250-500","NAM"
"131","Northern Italy",1,173.14,64.18,24.92,0.27,189.14,"Plugs and Caps","Spare Parts",8,0,1,4,"Others","e >500","CEU"
"132","Northern Italy",1,149.67,16.87,101.48,0.63,185.88,"Plugs and Caps","Spare Parts",6,0,1,4,"Others","b 20-100","ITA"
"133","Northern Italy",3,491.5,34.33,66.82,0.53,260.9,"Plugs and Caps","Spare Parts",8,0,1,18,"Nationals","c 100-250","ITA"
"134","Northern Italy",6,903.66,62.8,85.81,15.11,274.7,"Plugs and Caps","Spare Parts",6,0,1,4,"Nationals","c 100-250","ITA"
"144","Northern Italy",100,2349.85,104.29,182.88,6.12,2669.59,"Plugs and Caps","Spare Parts",2,0,1,4,"Nationals","e >500","ITA"
"166","Northern Italy",3,119.01,107.04,238.62,0.17,42.2,"Plugs and Caps","Spare Parts",1,0,1,29,"Others","a 0-20","ITA"
"173","Northern Italy",8,118.54,38.61,22.72,1.5,40.72,"Plugs and Caps","Spare Parts",3,0,1,64,"Others","b 20-100","ITA"
"174","Northern Italy",34,503.78,144,60.48,3.49,173.05,"Plugs and Caps","Spare Parts",3,0,1,60,"Nationals","e >500","ITA"
"179","Northern Italy",2,29.63,11.3,170.41,0.05,10.18,"Plugs and Caps","Spare Parts",3,0,1,4,"Nationals","a 0-20","ITA"
"192","Northern Italy",100,5112.33,219.41,395.55,12.71,3513.77,"Plugs and Caps","Spare Parts",3,0,601,4,"Nationals","e >500","ITA"
"224","Northern Italy",4,168,46.8,39.59,0.29,56.01,"Plugs and Caps","Spare Parts",1,0,1,4,"Others","a 0-20","FRA"
"226","Northern Italy",2,48.1,12.23,13.66,0.08,11.1,"Plugs and Caps","Spare Parts",3,0,1,4,"Others","b 20-100","IAM"
"227","Northern Italy",4,96.19,25.48,18.26,1.12,22.2,"Plugs and Caps","Spare Parts",3,0,1,4,"Others","b 20-100","ITA"
"229","Northern Italy",3,72.14,19.49,49.13,0.35,16.65,"Plugs and Caps","Spare Parts",3,0,1,29,"Others","b 20-100","ITA"
"238","USA",4,47.37,19.11,17.67,0.35,13.4,"Plugs and Caps","Spare Parts",3,0,1,4,"Nationals","e >500","NAM"
"241","Northern Italy",4,464.93,17.03,40.21,0.9,62.07,"Plugs and Caps","Spare Parts",0,0,4257,18,"Others","e >500","CEU"
"258","Northern Italy",1,50.8,40.63,34.57,0.24,15.47,"Plugs and Caps","Spare Parts",0,0,1910,4,"Others","b 20-100","ITA"
"268","Northern Italy",6,685.66,23.72,58,1.21,97.76,"Plugs and Caps","Spare Parts",0,0,1044,29,"Others","e >500","CEU"
"269","USA",1,87.79,16.49,20.63,0.28,21.46,"Plugs and Caps","Spare Parts",1,0,1,4,"Others","c 100-250","NAM"
"270","Northern Italy",16,1089.77,220.05,114.85,184.84,136.43,"Plugs and Caps","Spare Parts",1,0,1,40,"Others","e >500","ITA"
"271","Northern Italy",2,136.22,26.07,13.2,0.24,17.05,"Plugs and Caps","Spare Parts",1,0,1,18,"Others","c 100-250","ITA"
"272","Northern Italy",20,1370.26,201.07,454.4,1.62,157.05,"Plugs and Caps","Spare Parts",1,0,1,40,"Nationals","d 250-500","IAM"
"273","Northern Italy",2,148.57,37.4,130.9,0.23,22.46,"Plugs and Caps","Spare Parts",1,0,1,4,"Others","a 0-20","ITA"
"274","Northern Italy",10,742.87,130.46,85.44,1.15,112.29,"Plugs and Caps","Spare Parts",1,0,1,40,"Nationals","c 100-250","ITA"
"275","Northern Italy",28,2080.03,206.38,230.52,2.5,188.3,"Plugs and Caps","Spare Parts",1,0,1,68,"Nationals","c 100-250","ITA"
"286","Northern Italy",2,79.31,20.1,18.44,0.12,19.4,"Plugs and Caps","Spare Parts",1,0,2965,4,"Others","a 0-20","FRA"
"287","Northern Italy",15,594.83,89.27,54.25,1.27,145.47,"Plugs and Caps","Spare Parts",1,0,2492,4,"Nationals","e >500","CEU"
"288","Northern Italy",12,475.86,80.11,324.19,2.15,116.37,"Plugs and Caps","Spare Parts",1,0,2020,60,"Others","b 20-100","ITA"
"295","Northern Italy",7,267.18,20.04,74.14,0.33,64.05,"Plugs and Caps","Spare Parts",1,0,1089,18,"Others","b 20-100","IAM"
"296","Northern Italy",30,1145.05,84.32,101.17,2.02,274.52,"Plugs and Caps","Spare Parts",1,0,3650,18,"Nationals","e >500","CEU"
"297","Northern Italy",19,725.2,51.35,61.62,44.71,173.86,"Plugs and Caps","Spare Parts",1,0,2674,68,"Nationals","e >500","CEU"
"298","USA",2,76.34,12.6,11.03,0.15,18.3,"Plugs and Caps","Spare Parts",1,0,2910,18,"Nationals","e >500","NAM"
"301","Northern Italy",11,205.28,24.61,630.54,0.48,65.51,"Plugs and Caps","Spare Parts",3,0,1,18,"Others","a 0-20","APA"
"302","Northern Italy",12,395.64,191.1,584.15,21.3,90.17,"Plugs and Caps","Spare Parts",1,0,1,40,"Nationals","c 100-250","FRA"
"303","UK",20,659.41,338.97,29.3,1.95,150.29,"Plugs and Caps","Spare Parts",1,0,1,68,"Nationals","b 20-100","UKE"
"304","Northern Italy",6,234.72,34.22,35.79,0.01,194.63,"Plugs and Caps","Spare Parts",1,0,1,4,"Others","d 250-500","ITA"
"305","Northern Italy",13,508.55,86.75,347.44,2.52,421.69,"Plugs and Caps","Spare Parts",1,0,1,40,"Others","b 20-100","ITA"
"309","USA",2,104.18,13.05,17.99,0.24,41.53,"Plugs and Caps","Spare Parts",0,0,3660,4,"Nationals","e >500","NAM"
"313","USA",2,102.41,18.92,26.55,14.24,146.78,"Plugs and Caps","Spare Parts",0,0,2956,4,"Nationals","c 100-250","NAM"
"325","Northern Italy",12,666.53,53.57,92.25,1.05,14.83,"Plugs and Caps","Spare Parts",1,0,1,18,"Nationals","e >500","IAM"
"331","Northern Italy",6,190.19,70.9,19.22,1.48,12.27,"Plugs and Caps","Spare Parts",1,0,1,29,"Strategic","Strategic","CEU"
"335","USA",1,74.14,10.6,14.71,1.69,18.16,"Plugs and Caps","Spare Parts",0,0,2057,4,"Nationals","c 100-250","NAM"
"337","Spain",5,284.35,23.74,20.16,0.53,123.84,"Plugs and Caps","Spare Parts",0,0,1316,18,"Others","b 20-100","CEU"
"338","Northern Italy",5,284.35,23.74,20.16,0.53,123.84,"Plugs and Caps","Spare Parts",0,0,1316,18,"Others","b 20-100","CEU"
"348","USA",1,107.95,15.65,21.73,2.5,64.8,"Plugs and Caps","Spare Parts",0,0,3139,4,"Nationals","c 100-250","NAM"
"349","Northern Italy",5,975.64,40.21,93.98,84.92,69.48,"Plugs and Caps","Spare Parts",1,0,1,18,"Others","e >500","ITA"
"352","Northern Italy",10,1281.43,32.41,126.07,135.56,93.4,"Plugs and Caps","Spare Parts",1,0,1,29,"Others","e >500","ITA"
"359","Northern Italy",6,263.49,34.79,23.68,22.25,96.65,"Plugs and Caps","Spare Parts",0,0,1090,60,"Nationals","e >500","CEU"
"361","Northern Italy",32,1071.77,76.47,352.46,1.77,108,"Plugs and Caps","Spare Parts",1,0,1,18,"Nationals","a 0-20","SCA"
"368","Northern Italy",13,1168.45,75.24,129.42,6.08,64.69,"Plugs and Caps","Spare Parts",1,0,1,51,"Nationals","e >500","ITA"
"369","Northern Italy",4,359.52,39.39,245.12,1.83,19.9,"Plugs and Caps","Spare Parts",1,0,1,40,"Others","b 20-100","ITA"
"371","Northern Italy",16,1438.1,141.13,112.41,3.87,79.61,"Plugs and Caps","Spare Parts",1,0,1,29,"Nationals","e >500","ITA"
"372","Northern Italy",5,449.41,41.08,62.36,0.72,24.88,"Plugs and Caps","Spare Parts",1,0,1,29,"Nationals","e >500","IAM"
"373","Northern Italy",6,539.29,47.35,42.24,0.81,29.86,"Plugs and Caps","Spare Parts",1,0,1,4,"Others","d 250-500","APA"
"386","Northern Italy",4,456.09,19.2,35.52,1.2,43.17,"Plugs and Caps","Spare Parts",12,18,1355,18,"Nationals","e >500","ITA"
"388","Northern Italy",4,516.75,76.85,353.78,2.73,29.07,"Plugs and Caps","Spare Parts",1,0,1,40,"Others","b 20-100","ITA"
"390","Northern Italy",20,712.46,179.07,75.68,0.65,51.18,"Plugs and Caps","Spare Parts",1,0,1,51,"Nationals","c 100-250","ITA"
"391","Northern Italy",20,593.49,149.48,267.19,1.02,31.83,"Plugs and Caps","Spare Parts",1,0,1,40,"Nationals","d 250-500","IAM"
"394","Northern Italy",20,558.93,36.98,73.47,0.85,56.2,"Plugs and Caps","Spare Parts",7,0,1,4,"Others","a 0-20","FRA"
"396","Northern Italy",8,223.57,15.37,41.04,1.84,22.48,"Plugs and Caps","Spare Parts",7,0,1,4,"Others","b 20-100","ITA"
"397","Northern Italy",165,4611.15,168.01,456.64,13.96,463.66,"Plugs and Caps","Spare Parts",7,0,1,64,"Nationals","e >500","ITA"
"398","Northern Italy",16,447.14,29.26,302.21,1.46,44.96,"Plugs and Caps","Spare Parts",7,0,1,29,"Others","b 20-100","ITA"
"399","Northern Italy",20,558.93,36.71,41.99,1.06,56.2,"Plugs and Caps","Spare Parts",7,0,1,4,"Nationals","e >500","ITA"
"400","Northern Italy",12,335.36,17.59,24.33,0.35,33.72,"Plugs and Caps","Spare Parts",7,0,1,4,"Others","d 250-500","APA"
"401","Northern Italy",46,1285.53,96,100.44,1.52,129.26,"Plugs and Caps","Spare Parts",7,0,1,4,"Others","e >500","CEU"
"402","Northern Italy",14,518.6,58.67,54.13,2.08,38.94,"Plugs and Caps","Spare Parts",1,0,1,29,"Nationals","e >500","ITA"
"403","Northern Italy",5,185.21,24.62,21.24,0.28,13.91,"Plugs and Caps","Spare Parts",1,0,1,4,"Nationals","c 100-250","ITA"
"406","Northern Italy",35,326.35,76.7,94.1,0.69,10.25,"Plugs and Caps","Spare Parts",1,0,1,29,"Others","b 20-100","IAM"
"410","Northern Italy",38,354.33,81.07,50.43,0.49,11.13,"Plugs and Caps","Spare Parts",1,0,1,29,"Nationals","c 100-250","ITA"
"418","Northern Italy",3,150.03,26.11,30.55,0.35,10.44,"Plugs and Caps","Spare Parts",1,0,1,18,"Nationals","a 0-20","FRA"
"420","Northern Italy",6,300.07,43.6,85.73,0.57,20.88,"Plugs and Caps","Spare Parts",1,0,1,29,"Others","b 20-100","IAM"
"421","Northern Italy",16,800.18,110.3,73.14,73.37,55.68,"Plugs and Caps","Spare Parts",1,0,1,9,"Nationals","e >500","CEU"
"422","Northern Italy",14,700.16,114.19,479.65,3.78,48.72,"Plugs and Caps","Spare Parts",1,0,1,60,"Others","b 20-100","ITA"
"424","Northern Italy",3,150.03,27.15,21.63,0.24,10.44,"Plugs and Caps","Spare Parts",1,0,1,18,"Others","e >500","CEU"
"432","Northern Italy",48,1553.63,104.81,166.86,1.31,157.95,"Plugs and Caps","Spare Parts",9,0,1,51,"Others","c 100-250","ITA"
"433","Northern Italy",10,323.67,17.08,35.35,0.36,32.91,"Plugs and Caps","Spare Parts",9,0,1,4,"Nationals","c 100-250","ITA"
"434","Northern Italy",21,679.72,46.33,162.92,0.85,69.1,"Plugs and Caps","Spare Parts",9,0,1,29,"Others","b 20-100","ITA"
"435","Northern Italy",10,323.67,19.48,33,44.78,32.91,"Plugs and Caps","Spare Parts",9,0,1,4,"Others","e >500","ITA"
"436","Northern Italy",20,2277.51,201.33,555.37,3.63,115.8,"Plugs and Caps","Spare Parts",1,0,1,40,"Others","b 20-100","ITA"
"439","Northern Italy",6,109.72,25.63,19.77,0.23,31.63,"Plugs and Caps","Spare Parts",3,0,3145,29,"Nationals","c 100-250","FRA"
"440","Northern Italy",5,131.43,27.53,226.51,0.33,14.13,"Plugs and Caps","Spare Parts",1,0,1,4,"Strategic","Strategic","FRA"
"443","Northern Italy",30,788.55,123.15,80.77,2.88,84.76,"Plugs and Caps","Spare Parts",1,0,1,29,"Nationals","e >500","ITA"
"454","Northern Italy",25,983.01,104.42,94.74,2.77,29.98,"Plugs and Caps","Spare Parts",1,0,1,18,"Nationals","e >500","CEU"
"457","Northern Italy",31,1108.88,361.77,3120.11,4.51,34.32,"Plugs and Caps","Spare Parts",1,0,1,60,"Strategic","Strategic","FRA"
"515","Northern Italy",174,372.98,82.35,47.53,3.1,22.18,"Plugs and Caps","Spare Parts",1,0,1,51,"Nationals","e >500","ITA"
"521","Northern Italy",600,1286.12,340.54,109.43,5.77,76.5,"Plugs and Caps","Spare Parts",1,0,1,74,"Nationals","e >500","ITA"
"562","Northern Italy",13,144.21,72.02,15.45,0.65,25.99,"Plugs and Caps","Spare Parts",1,0,1,29,"Nationals","e >500","ITA"
"566","Northern Italy",8,182.2,81.99,73.8,0.14,85.34,"Plugs and Caps","Spare Parts",1,0,1,18,"Others","a 0-20","ITA"
"573","Northern Italy",52,91.26,90.01,11.13,3.94,11.93,"Plugs and Caps","Spare Parts",1,0,1,29,"Nationals","c 100-250","ITA"
"582","Northern Italy",20,282.14,67.15,163.12,0.55,12.49,"Plugs and Caps","Spare Parts",1,0,1,4,"Others","a 0-20","CEU"
"586","Northern Italy",95,817.09,147.22,92.98,1.12,36.76,"Plugs and Caps","Spare Parts",1,0,1,60,"Others","c 100-250","ITA"
"590","Northern Italy",65,313.49,64.24,35.54,1.78,24.91,"Plugs and Caps","Spare Parts",1,0,1,29,"Nationals","e >500","ITA"
"591","Northern Italy",50,241.15,58.11,27.42,0.33,19.16,"Plugs and Caps","Spare Parts",1,0,1,51,"Others","c 100-250","ITA"
"755","Northern Italy",20,278.66,47.6,32.79,1.81,26.78,"Plugs and Caps","Spare Parts",6,0,1,18,"Nationals","e >500","ITA"
"759","Northern Italy",9,125.4,29.17,86.52,0.87,12.05,"Plugs and Caps","Spare Parts",6,0,1,64,"Others","b 20-100","ITA"
"760","Northern Italy",30,417.99,95.91,106.24,1.02,40.18,"Plugs and Caps","Spare Parts",6,0,1,40,"Others","b 20-100","ITA"
"763","Northern Italy",110,1532.63,315.88,121.38,4.54,147.31,"Plugs and Caps","Spare Parts",6,0,1,68,"Nationals","e >500","ITA"
"782","Northern Italy",2,171.91,14.03,29.96,0.34,17.77,"Plugs and Caps","Spare Parts",1,0,1,4,"Nationals","c 100-250","FRA"
"783","Northern Italy",6,515.73,45.38,45.71,2.31,53.3,"Plugs and Caps","Spare Parts",1,0,1,18,"Others","e >500","NAM"
"787","Northern Italy",2,149.14,22.73,12.2,0.45,10.34,"Plugs and Caps","Spare Parts",1,0,1,4,"Others","e >500","NAM"
"788","Northern Italy",2,149.14,23.06,20.83,0.25,10.34,"Plugs and Caps","Spare Parts",1,0,1,18,"Nationals","e >500","IAM"
"797","Northern Italy",14,410.76,120.95,102.46,1.18,11.82,"Plugs and Caps","Spare Parts",1,0,1,51,"Nationals","d 250-500","FRA"
"798","Northern Italy",18,528.11,139.56,48.27,48.42,15.2,"Plugs and Caps","Spare Parts",1,0,1,64,"Nationals","e >500","CEU"
"804","Northern Italy",35,923.73,126.16,83.39,79.83,15.6,"Plugs and Caps","Spare Parts",1,0,1,11,"Nationals","e >500","CEU"
"809","Northern Italy",11,364.44,95.14,248.35,1.83,12.8,"Plugs and Caps","Spare Parts",1,0,1,74,"Others","b 20-100","ITA"
"819","USA",51,2608.66,686.83,542.51,7.3,52,"Plugs and Caps","Spare Parts",1,0,1,10,"Nationals","e >500","NAM"
"842","Northern Italy",10,388.11,63.94,27.4,0.71,19.55,"Plugs and Caps","Spare Parts",1,0,1,29,"Others","b 20-100","CEU"
"844","Northern Italy",2,188.95,25.35,24.76,0.35,14.34,"Plugs and Caps","Spare Parts",1,0,1,4,"Others","e >500","SCA"
"845","Northern Italy",16,1511.62,114.59,138.45,139.89,114.75,"Plugs and Caps","Spare Parts",1,0,1,74,"Nationals","e >500","CEU"
"930","Northern Italy",380,115.13,167.92,12.59,0.57,12.48,"Plugs and Caps","Spare Parts",1,0,1,60,"Nationals","e >500","ITA"
"990","Northern Italy",111,1131.67,213.8,127.08,6.21,56.64,"Plugs and Caps","Spare Parts",1,0,1,68,"Nationals","e >500","ITA"
"992","Northern Italy",21,214.1,49.53,145.68,1.03,10.72,"Plugs and Caps","Spare Parts",1,0,1,51,"Others","b 20-100","ITA"
"1028","USA",7,136.17,62.06,11.57,0.16,129.52,"Plugs and Caps","Spare Parts",11,0,901,60,"Nationals","e >500","NAM"
"1029","USA",6,126.2,12.53,16.43,0.22,75.15,"Plugs and Caps","Spare Parts",5,0,3640,29,"Nationals","e >500","NAM"
"1031","USA",2,787.59,66.08,50.36,26.84,95.19,"Plugs and Caps","Spare Parts",2,0,3718,18,"Nationals","c 100-250","NAM"
"1032","Northern Italy",10,3047.04,181.55,236.63,84.01,778.09,"Plugs and Caps","Spare Parts",1,0,3726,5,"Nationals","e >500","CEU"
"1039","USA",3,281.1,119.25,76.38,1.05,56.1,"Plugs and Caps","Spare Parts",8,135,3115,18,"Others","c 100-250","NAM"
"1040","USA",6,562.2,272.79,199.88,2.76,112.2,"Plugs and Caps","Spare Parts",8,135,4444,29,"Others","a 0-20","NAM"
"1042","Northern Italy",1,354.21,26.09,66,0.4,49,"Plugs and Caps","Spare Parts",27,15,1192,4,"Others","b 20-100","IAM"
"1044","Northern Italy",2,149.35,33.01,21.22,0.27,30.24,"Plugs and Caps","Spare Parts",12,0,1839,4,"Nationals","e >500","IAM"
"1046","USA",2,1055.61,177.05,160.89,2.21,203.7,"Plugs and Caps","Spare Parts",36,120,992,18,"Others","a 0-20","NAM"
"1047","Northern Italy",28,2463.78,161.69,307.53,513.34,969.73,"Plugs and Caps","Spare Parts",14,750,4002,29,"Others","b 20-100","CEU"
"1048","Northern Italy",2,175.98,16.31,26.72,0.45,69.27,"Plugs and Caps","Spare Parts",14,750,3373,4,"Nationals","e >500","IAM"
"1049","Northern Italy",4,228.88,54.97,30.78,1.06,11.97,"Plugs and Caps","Spare Parts",10,0,1,4,"Nationals","b 20-100","CEU"
"1051","USA",10,1264.69,736.78,949.64,12.81,417.45,"Plugs and Caps","Spare Parts",20,300,2496,40,"Nationals","e >500","NAM"
"1052","USA",1,384.24,96.4,97.37,11.22,61.29,"Plugs and Caps","Spare Parts",30,39,3347,4,"Nationals","c 100-250","NAM"
"1053","USA",1,384.24,71.81,97.37,11.22,61.29,"Plugs and Caps","Spare Parts",30,39,3347,4,"Nationals","c 100-250","NAM"
"1054","Northern Italy",2,715.32,44.57,53.71,1.12,102.28,"Plugs and Caps","Spare Parts",42,0,3392,1,"Nationals","d 250-500","ITA"
"1055","Northern Italy",5,2133.35,125.61,297.27,3.37,598.9,"Plugs and Caps","Spare Parts",42,225,3056,29,"Nationals","c 100-250","FRA"
"1056","Northern Italy",10,4266.71,187.93,594.53,6.73,1200.59,"Plugs and Caps","Spare Parts",42,450,4375,29,"Nationals","c 100-250","FRA"
"1057","USA",2,765.32,196.53,194.73,22.43,127.18,"Plugs and Caps","Spare Parts",36,78,975,18,"Nationals","c 100-250","NAM"
"1058","Northern Italy",1,442.81,36.75,61.45,0.7,119.62,"Plugs and Caps","Spare Parts",42,90,4365,4,"Nationals","c 100-250","FRA"
"1059","Northern Italy",1,442.81,29.5,31.3,0.46,119.62,"Plugs and Caps","Spare Parts",42,90,4365,4,"Others","b 20-100","ITA"
"1060","Northern Italy",11,4370.94,112.53,492.37,24.28,1267.14,"Plugs and Caps","Spare Parts",51,682,269,4,"Nationals","e >500","ITA"
"1061","Northern Italy",8,3180.58,90.01,357.79,17.58,921.56,"Plugs and Caps","Spare Parts",51,496,4389,4,"Nationals","e >500","ITA"
"1062","Northern Italy",5,63.9,65.57,35.96,0.11,16.12,"Plugs and Caps","Spare Parts",7,13,3298,4,"Others","a 0-20","CEU"
"1067","Northern Italy",1,131.06,24.15,70.49,0.28,11.27,"Plugs and Caps","Spare Parts",8,7,3908,4,"Nationals","d 250-500","IAM"
"1068","Northern Italy",1,135.44,22.1,18.19,0.29,17.38,"Plugs and Caps","Spare Parts",8,7,966,4,"Others","e >500","IAM"
"1071","Northern Italy",1,129.95,24.01,57.94,0.27,16.82,"Plugs and Caps","Spare Parts",10,8.1,1081,4,"Strategic","Strategic","CEU"
"1073","Northern Italy",1,110.19,17.29,13.81,0.15,40.42,"Plugs and Caps","Spare Parts",17,30,2037,4,"Others","e >500","IAM"
"1074","Northern Italy",1,110.19,17.67,12.58,0.16,40.42,"Plugs and Caps","Spare Parts",17,30,2037,4,"Nationals","c 100-250","ITA"
"1075","Northern Italy",1,107.32,35.17,44.7,0.17,22.59,"Plugs and Caps","Spare Parts",17,10.2,811,4,"Nationals","d 250-500","IAM"
"1076","Northern Italy",1,193.25,38.13,27.51,0.27,45.26,"Plugs and Caps","Spare Parts",16,15,2911,4,"Others","e >500","CEU"
"1077","USA",2,295.62,67.16,57.53,6.62,23.7,"Plugs and Caps","Spare Parts",15,16,1249,4,"Nationals","c 100-250","NAM"
"1078","USA",1,186.53,50.31,36.3,4.18,29.54,"Plugs and Caps","Spare Parts",17,9,3090,4,"Nationals","c 100-250","NAM"
"1085","Northern Italy",150,1776.46,252.53,168.16,12.38,11.61,"Plugs and Caps","Spare Parts",1,0,1,51,"Nationals","e >500","ITA"
